2018-06-22 15:19:16.917148 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:04.314573 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:11.858811 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:12.848711 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:13.386828 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:13.726199 Makefile --> Makefile ERROR file exist, not the same file
2018-06-22 15:20:19.700459 ./Makefile --> .//Makefile ERROR file exist, not the same file
2018-06-22 15:38:14.178099 Makefile --> Makefile ERROR file exist, but not the same md5sum
2018-06-22 15:38:26.334714 Makefile --> Makefile ERROR file exist, but not the same md5sum
2018-06-22 15:39:39.150428 Makefile --> Makefile ERROR file exist, but not the same md5sum
2018-06-22 15:39:47.937728 ./err.log --> .//err.log ERROR file exist, not the same file
2018-06-22 15:39:47.952888 ./hbackup.py --> .//hbackup.py ERROR file exist, not the same file
2018-06-22 15:39:47.959298 ./Makefile --> .//Makefile ERROR file exist, but not the same md5sum
